external_id,team_name
1595,Seattle Sounders
1596,San Jose Earthquakes
1597,FC Dallas
1598,Orlando City SC
1599,Philadelphia Union
1600,Houston Dynamo
1601,Toronto FC
1602,New York Red Bulls
1603,Vancouver Whitecaps
1604,New York City FC
1605,Los Angeles Galaxy
1606,Real Salt Lake
1607,Chicago Fire
1608,Atlanta United FC
1609,New England Revolution
1610,Colorado Rapids
1611,Sporting Kansas City
1612,Minnesota United FC
1613,Columbus Crew
1614,CF Montreal
1615,DC United
1616,Los Angeles FC
1617,Portland Timbers
2242,FC Cincinnati
9568,Inter Miami
9569,Nashville SC
16489,Austin
18310,Charlotte
1168,Turku PS
2075,FF Jaro
2076,Kooteepee
2078,EIF
2082,Gnistan
9173,JäPS
9175,MP
9178,PEPO
9198,SJK Akatemia
10199,KPV-j
10668,PIF
10669,PK-35
2437,FC Edmonton
2619,Cavalry FC
2621,HFX Wanderers FC
2622,Pacific FC
2623,York United
3830,Forge
3831,Valour
10169,Atlético Ottawa
18766,Guelph United
18767,Mont-Royal Outremont
551,FC Basel 1893
565,BSC Young Boys
606,FC Lugano
630,FC Sion
644,FC Luzern
783,FC Zurich
1011,FC ST. Gallen
1013,Grasshoppers
2180,FC Winterthur
2184,Servette FC
4269,Stade Lausanne-Ouchy
584,Dundalk
652,Shamrock Rovers
670,Derry City
3840,Bohemians
3841,Finn Harps
3842,Sligo Rovers
3843,St Patrick's Athl.
3844,UCD
3845,Waterford
3850,Drogheda United
3854,Shelbourne
2167,Syrianska FC
2169,Assyriska FF
6662,Enskede
6682,Karlberg
6685,Lidingö
6691,Nyköping
6714,Värmbols
11668,Arameiska / Syrianska
11670,Sleipner
12596,Huddinge
12597,IFK Eskilstuna
12599,Trosa-Vagnhärad SK
12650,Smedby
16601,United Nordic
6656,Assyriska BK
6657,Astrio
6663,Eskilsminne
6673,Hittarp
6675,Husqvarna
6677,Höganäs
12576,Sävedalen
12606,Onsala
12607,Ullared
12608,Varbergs GIF
12609,Västra Frölunda
12620,Torslanda
18424,Landvetter IS
18425,Tölö
587,Mariehamn
649,HJK Helsinki
650,VPS
689,SJK
1163,Ilves
1164,Inter Turku
1165,KuPS
1166,Lahti
1169,Honka
1172,HIFK Helsinki
2077,AC Oulu
2080,Haka
268,IBV Vestmannaeyjar
269,Keflavik
270,FH hafnarfjordur
271,KR Reykjavik
272,KA Akureyri
274,Valur Reykjavik
275,Stjarnan
276,Breidablik
278,Vikingur Reykjavik
827,IA Akranes
2114,Leiknir R.
2117,Fram Reykjavik
119,Internacional
120,Botafogo
121,Palmeiras
124,Fluminense
125,America Mineiro
126,Sao Paulo
127,Flamengo
128,Santos
129,Ceara
131,Corinthians
134,Atletico Paranaense
144,Atletico Goianiense
145,Avai
147,Coritiba
151,Goias
152,Juventude
154,Fortaleza EC
794,RB Bragantino
1062,Atletico-MG
1193,Cuiaba
319,Brann
322,Ranheim
323,Stabaek
334,Start
758,Sogndal
2142,Bryne
2143,KFUM Oslo
2144,Kongsvinger
2146,Sandnes ULF
2148,Asane
2149,Fredrikstad
2152,Mjondalen
2153,Raufoss
2155,Arendal
2239,Skeid
6993,Grorud
7033,Stjørdals-Blink
320,Kristiansund BK
321,Lillestrom
324,Stromsgodset
325,Tromso
326,Valerenga
327,Bodo/Glimt
328,Haugesund
329,Molde
330,ODD Ballklubb
331,Rosenborg
332,Sandefjord
333,Sarpsborg 08 FF
757,Aalesund
759,Viking
2151,jerv
2159,Ham-Kam
3989,Birmingham Legion
3990,Charleston Battery
3991,Charlotte Independence
3992,Colorado Springs
3993,El Paso Locomotive
3995,Hartford Athletic
3996,Indy Eleven
3998,Las Vegas Lights
4000,Louisville City
4001,Memphis 901
4003,New Mexico United
4005,North Carolina
4007,Orange County SC
4009,Phoenix Rising
4010,Pittsburgh Riverhounds
4014,Rio Grande Valley
4015,Sacramento Republic
4017,San Antonio
4021,Tampa Bay Rowdies
4022,FC Tulsa
4024,Richmond Kickers
4027,Rochester Rhinos
4040,Chicago Fire II
4047,Des Moines Menace
4049,Evergreen
4066,North Carolina Fusion
4068,Ocean City Nor'easters
4071,Park City Red Wolves
4074,Portland Timbers III
4087,The Villages
4100,Western Mass Pioneers
4108,Tormenta
4109,Tucson
9016,Chattanooga Red Wolves
9022,FC Motown
9025,Forward Madison
9026,Greenville Triumph
9030,Miami FC
9037,West Chester United
9039,Azteca
9043,Detroit City
9055,Lansdowne Bhoys
9057,Miami United
9067,Albion Pros
9073,Chattanooga
9092,Tulsa Athletics
9991,San Diego Loyal
10063,Cleveland SC
10066,Denton Diablos
10069,Minneapolis City
10283,Union Omaha
10871,California Utd Strikers
10872,LA Force
10873,Michigan Stars
10874,Oakland Roots
13206,Georgia Revolution
16501,Maryland Bobcats
17026,Contra Costa
18357,Central Valley Fuego
18358,Northern Colorado
18375,Monterey Bay
18452,Brockton
18453,City Soccer
18454,D'Feeters Kicks
18455,Escondido
18456,Hartford City
18457,Las Vegas Legends FC
18458,Lynchburg
18459,Orlando FC Wolves
18460,Oyster Bay United
18461,San Fernando Valley
18462,South Carolina United
18463,Southern States
18469,Bay Cities
18470,Flower City Union
18471,Syracuse Pulse
18472,Valley United
18740,St. Louis City II
397,FC Midtjylland
398,FC Nordsjaelland
400,FC Copenhagen
401,Randers FC
402,Aalborg
404,AC Horsens
405,Odense
406,Aarhus
407,Brondby
625,Lyngby
2070,Viborg
2073,Silkeborg
33,Manchester United
34,Newcastle
35,Bournemouth
36,Fulham
39,Wolves
40,Liverpool
41,Southampton
42,Arsenal
45,Everton
46,Leicester
47,Tottenham
48,West Ham
49,Chelsea
50,Manchester City
51,Brighton
52,Crystal Palace
55,Brentford
63,Leeds
65,Nottingham Forest
66,Aston Villa
37,Huddersfield
38,Watford
43,Cardiff
44,Burnley
53,Reading
54,Birmingham
56,Bristol City
58,Millwall
59,Preston
60,West Brom
61,Wigan
62,Sheffield Utd
64,Hull City
67,Blackburn
70,Middlesbrough
71,Norwich
72,QPR
73,Rotherham
75,Stoke City
76,Swansea
746,Sunderland
1346,Coventry
1356,Blackpool
1359,Luton
57,Ipswich
68,Bolton
69,Derby
74,Sheffield Wednesday
747,Barnsley
748,Burton Albion
1334,Bristol Rovers
1335,Charlton
1336,Fleetwood Town
1338,Oxford United
1348,Milton Keynes Dons
1350,Peterborough
1351,Port Vale
1352,Shrewsbury
1355,Portsmouth
1357,Plymouth
1358,Wycombe
1360,Accrington ST
1364,Exeter City
1370,Cambridge United
1372,Cheltenham
1375,Morecambe
1378,Forest Green
1379,Lincoln
1333,AFC Wimbledon
1337,Northampton
1339,Rochdale
1342,Walsall
1343,Bradford
1347,Gillingham
1353,Swindon Town
1354,Doncaster
1361,Colchester
1362,Crawley Town
1363,Crewe
1365,Grimsby
1366,Hartlepool
1367,Newport County
1368,Stevenage
1371,Carlisle
1373,Leyton Orient
1374,Mansfield Town
1381,Tranmere
1819,Barrow
1835,Sutton Utd
1842,Harrogate Town
1844,Salford City
4686,Stockport County
1340,Scunthorpe
1341,Southend
1345,Chesterfield
1349,Oldham
1369,Barnet
1376,Notts County
1377,Yeovil Town
1818,Aldershot Town
1821,Dagenham & Redbridge
1822,Eastleigh
1823,Gateshead
1825,Maidstone Utd
1827,Torquay
1828,York
1830,Boreham Wood
1832,Bromley
1834,Solihull Moors
1836,Woking
1837,Wrexham
1838,Maidenhead
1841,FC Halifax Town
4700,Altrincham
8659,Dorking Wanderers
8663,Wealdstone
247,Celtic
249,Hibernian
250,Kilmarnock
251,ST Mirren
252,Aberdeen
254,Heart Of Midlothian
255,Livingston
256,Motherwell
257,Rangers
258,ST Johnstone
901,Partick
902,Ross County
1386,Dundee Utd
1387,Ayr Utd
6778,Queen's Park
248,Hamilton Academical
253,Dundee
903,Inverness CT
1383,Morton
1385,Raith Rovers
1389,Falkirk
1391,Alloa Athletic
4249,Arbroath
4668,Airdrie United
6763,Cove Rangers
1382,Dumbarton
1384,Queen of the South
1388,Dunfermline
4251,Montrose
6757,Annan Athletic
6762,Clyde
6764,East Fife
6766,Edinburgh City
6773,Kelty Hearts
6777,Peterhead
4250,Forfar Athletic
4669,Stirling Albion
6756,Albion Rovers
6767,Elgin City
6781,Spartans
6784,Stenhousemuir
6785,Stranraer
7431,Bonnyrigg Rose Athletic
157,Bayern München
159,Hertha BSC
160,SC Freiburg
161,VfL Wolfsburg
162,Werder Bremen
163,Borussia Mönchengladbach
164,FSV Mainz 05
165,Borussia Dortmund
167,1899 Hoffenheim
168,Bayer Leverkusen
169,Eintracht Frankfurt
170,FC Augsburg
172,VfB Stuttgart
173,RB Leipzig
174,FC Schalke 04
175,Hamburger SV
176,VfL Bochum
182,Union Berlin
192,1. FC Köln
158,Fortuna Düsseldorf
166,Hannover 96
171,1. FC Nürnberg
177,SSV Jahn Regensburg
178,SpVgg Greuther Fürth
179,1. FC Magdeburg
180,1. FC Heidenheim
181,SV Darmstadt 98
185,SC Paderborn 07
186,FC St. Pauli
188,Arminia Bielefeld
189,SV Sandhausen
191,Holstein Kiel
744,Eintracht Braunschweig
745,1. FC Kaiserslautern
785,Karlsruher SC
1319,SV Wehen
1321,Hansa Rostock
487,Lazio
488,Sassuolo
489,AC Milan
492,Napoli
494,Udinese
496,Juventus
497,AS Roma
498,Sampdoria
499,Atalanta
500,Bologna
502,Fiorentina
503,Torino
504,Hellas Verona
505,Inter
511,Empoli
514,Salernitana
515,Spezia
520,Cremonese
867,Lecce
1579,Monza
490,Cagliari
493,Spal
495,Genoa
506,Benevento
507,Ascoli
508,Bari
510,Cittadella
512,Frosinone
516,Ternana
517,Venezia
518,Brescia
522,Palermo
523,Parma
524,Perugia
801,Pisa
895,Como
899,Modena
1578,Sudtirol
1692,Reggina
10137,Cosenza
529,Barcelona
530,Atletico Madrid
531,Athletic Club
532,Valencia
533,Villarreal
536,Sevilla
538,Celta Vigo
540,Espanyol
541,Real Madrid
543,Real Betis
546,Getafe
547,Girona
548,Real Sociedad
720,Valladolid
723,Almeria
724,Cadiz
727,Osasuna
728,Rayo Vallecano
797,Elche
798,Mallorca
534,Las Palmas
535,Malaga
537,Leganes
539,Levante
542,Alaves
545,Eibar
715,Granada CF
716,Lugo
718,Oviedo
719,Tenerife
722,Albacete
726,Huesca
731,Sporting Gijon
732,Zaragoza
799,Mirandes
4665,Racing Santander
4907,Ponferradina
5262,FC Cartagena
8157,FC Andorra
9390,Ibiza
9580,Burgos
9595,Villarreal II
77,Angers
79,Lille
80,Lyon
81,Marseille
82,Montpellier
83,Nantes
84,Nice
85,Paris Saint Germain
91,Monaco
93,Reims
94,Rennes
95,Strasbourg
96,Toulouse
97,Lorient
98,Ajaccio
99,Clermont Foot
106,Stade Brestois 29
108,Auxerre
110,Estac Troyes
116,Lens
78,Bordeaux
87,Amiens
88,Caen
89,Dijon
90,Guingamp
92,Nimes
101,Grenoble
105,Valenciennes
111,Le Havre
112,Metz
113,Niort
114,Paris FC
115,Sochaux
431,Quevilly
433,Laval
1063,Saint Etienne
1297,PAU
1301,Rodez
1305,Bastia
3012,Annecy
194,Ajax
195,Willem II
196,Excelsior
197,PSV Eindhoven
200,Vitesse
201,AZ Alkmaar
202,Groningen
203,NAC Breda
204,VVV Venlo
205,Fortuna Sittard
207,Utrecht
208,Emmen
209,Feyenoord
210,Heerenveen
410,GO Ahead Eagles
412,MVV
413,NEC Nijmegen
415,Twente
416,FC Volendam
417,Waalwijk
419,Almere City FC
420,Cambuur
422,FC Eindhoven
426,Sparta Rotterdam
260,OH Leuven
261,KVC Westerlo
266,KV Mechelen
554,Anderlecht
569,Club Brugge KV
600,Zulte Waregem
624,Oostende
631,Gent
733,Standard Liege
734,Kortrijk
735,St. Truiden
736,Charleroi
739,AS Eupen
740,Antwerp
741,Cercle Brugge
742,Genk
1393,Union St. Gilloise
10244,Seraing United
211,Benfica
212,FC Porto
214,Maritimo
216,Portimonense
217,SC Braga
222,Boavista
223,Chaves
224,Vitória SC
226,Rio Ave
227,Santa Clara
228,Sporting CP
230,Estoril
234,Pacos Ferreira
240,Arouca
242,Famalicao
762,GIL Vicente
810,Vizela
4716,Casa Pia
15130,Estrela
549,Beşiktaş
564,Başakşehir
607,Konyaspor
611,Fenerbahçe
645,Galatasaray
996,Alanyaspor
998,Trabzonspor
1001,Kayserispor
1002,Sivasspor
1004,Kasımpaşa
1005,Antalyaspor
1010,Ankaragücü
3563,Adana Demirspor
3573,Gaziantep FK
3574,Giresunspor
3575,Hatayspor
3577,Ümraniyespor
3578,İstanbulspor
3589,Fatih Karagümrük
553,Olympiakos Piraeus
575,AEK Athens FC
617,Panathinaikos
619,PAOK
949,Panetolikos
950,PAS Giannina
955,Asteras Tripolis
956,Lamia
957,Levadiakos
1123,Aris Thessalonikis
1124,OFI
2110,Volos NFC
7513,Ionikos
12260,Atromitos
363,Hammarby FF
364,Djurgardens IF
366,IFK Goteborg
367,BK Hacken
370,Sirius
372,IF Elfsborg
373,GIF Sundsvall
374,Kalmar FF
375,Malmo FF
377,AIK Stockholm
378,IFK Norrkoping
811,Helsingborg
2163,IFK Varnamo
2171,Varbergs BoIS FC
2172,Degerfors IF
2174,Osters IF
2240,Mjallby AIF
365,Orebro SK
368,Dalkurd FF
369,Trelleborg
371,IF Brommapojkarna
376,Ostersunds FK
764,Jonkopings Sodra
765,AFC Eskilstuna
766,Halmstad
812,Falkenbergs FF
2166,Orgryte IS
2173,Norrby IF
2175,IK brage
2176,Landskrona BoIS
2241,Vasteras SK FK
6697,Sandviken
6698,Skövde AIK
6706,Utsikten
813,Gefle IF
6672,Haninge
6699,Sollentuna
6705,Umeå FC
6708,Vasalund
11659,IF Karlstad
11661,Sylvia
11662,Umea FF
11663,Täby
11664,Örebro Syrianska
11666,Forward
11671,Piteå
11673,Motala
12585,Stockholm Internazionale
16596,Hammarby Talang
2162,Atvidabergs FF
2165,Ljungskile SK
2168,Angelholms FF
2170,Gais
6686,Lindome
6687,Lund
6692,Oskarshamns AIK
6693,Qviding FIF
6701,Torns
6702,Trollhättan
6703,Tvååker
6713,Vänersborgs IF
11674,Oddevold
12601,Olympic
12604,IFK Malmö
6655,Akropolis
6671,Gute
6674,Hudiksvall
6700,Stocksund
12581,IFK Österåker
12582,Kungsängen
12583,Kvarnsveden
12584,Skiljebo
16598,Järfälla
16599,Sandvikens AIK
16745,Rågsved
18426,Forsbacka
18427,Korsnäs
18784,Uppsala
6676,Hässleholms IF
6683,Karlskrona
6694,Rosengård
10598,Ariana
11675,Kristianstad
12602,Eslov
12611,Asarum
12612,Berga
12614,IFK Hässleholm
12616,Nosaby
12617,Räppe
12619,Österlen
17119,Balkan
19044,Högsby
6667,Gauthiod
6670,Grebbestad
11660,Karlslund
12570,Ahlafors
12573,Lidköping
12574,Nordvärmland
12575,Stenungsund
12577,Vänersborgs FK
12598,Kumla
14108,Angered BK
16600,Mjölby
16606,Yxhult
18422,Herrestads
18423,Sifhälla
6669,Gottne
6679,IFK Luleå
6681,IFK Östersund
11665,Boden
11669,Skellefteå
12586,Friska Viljor
12590,Sandviks
12591,Stöde
12593,Umeå FC Akademi
12594,Ytterhogdal
16602,Bergnäsets
16604,Storfors
18420,Kiruna FF
18421,Älgarna
10900,Piteå W
11075,Rosengård W
11076,Djurgården W
11077,Eskilstuna United W
11078,KIF Örebro W
11079,Kristianstad W
11080,Linköping W
11081,Umeå W
11083,Vittsjö W
15629,AIK W
15630,Hammarby W
16004,Brommapojkarna W
16006,Kalmar W
16483,Häcken W
11082,Uppsala W
11084,Växjö W
16001,Alingsås W
16005,Jitex W
16007,Mallbacken W
16008,Norrköping W
16009,Sundsvall W
16010,Älvsjö AIK W
16011,Lidköping W
16012,Morön W
16029,Bromölla W
16032,Gamla Upsala W
17638,Team TG FF W
18381,Bergdalens W
1380,Macclesfield
1820,Chester
1824,Guiseley AFC
1826,Southport
1829,Dover
1831,Braintree
1839,AFC Fylde
1840,Ebbsfleet United
1843,Havant & Wville
4677,Alfreton Town
4678,Billericay Town
4679,Chorley
4680,Hampton & Richmond
4681,Haringey Borough
4682,Hitchin Town
4683,Metropolitan Police
4684,Oxford City
4685,Slough Town
4687,Weston-super-Mare
4688,AFC Telford United
4689,Chelmsford City
4690,Dartford
4691,Gainsborough Trinity
4692,Hereford
4693,Heybridge Swifts
4694,Hyde United
4695,Kidderminster Harriers
4696,Leatherhead
4697,Nantwich Town
4699,Truro City
4701,Brackley Town
4702,Chesham United
4703,Curzon Ashton
4704,Eastbourne Borough
4705,Harrow Borough
4706,Merstham
4707,Spennymoor Town
4708,St Albans City
4709,Stamford
4710,Stourbridge
4711,Taunton Town
4712,Westfields
4713,Whitehawk
7205,AFC Sudbury
7206,Ashford United
7207,Aveley
7208,Aylesbury United
7209,Barking
7210,Barnstaple Town
7211,Basildon United
7212,Bedfont Sports
7213,Bedworth United
7214,Berkhamsted
7215,Bideford
7216,Brentwood Town
7217,Burgess Hill Town
7218,Cambridge City
7219,Chipstead
7220,Cinderford Town
7221,Corby Town
7222,Didcot Town
7224,East Grinstead Town
7225,FC Romania
7226,Frome Town
7227,Glossop North End
7228,Grays Athletic
7229,Great Wakering Rovers
7231,Hastings United
7232,Herne Bay
7233,Highworth Town
7234,Histon
7235,Hythe Town
7236,Ilkeston Town
7237,Kendal Town
7238,Larkhall Athletic
7239,Leek Town
7240,Market Drayton Town
7241,Melksham Town
7242,Newcastle Town
7243,Northwood
7244,Paulton Rovers
7245,Phoenix Sports
7246,Pickering Town
7247,Pontefract Collieries
7248,Romford
7249,Sevenoaks Town
7250,Sittingbourne
7251,South Park
7252,Stocksbridge Park Steels
7253,Sutton Coldfield Town
7254,Thatcham Town
7255,Tilbury
7256,Tooting & Mitcham United
7257,Uxbridge
7258,VCD Athletic
7259,Waltham Abbey
7260,Wantage Town
7261,Westfield (Surrey)
7263,Willand Rovers
7264,Witham Town
7265,Workington
7266,Worksop Town
7267,Yaxley
7610,AFC Dunstable
7611,AFC Kempston Rovers
7612,AFC Totton
7613,Ashford Town (Middlesex)
7614,Barton Rovers
7615,Basingstoke Town
7616,Bedford Town
7617,Belper Town
7618,Biggleswade
7619,Bracknell Town
7620,Brighouse Town
7621,Bristol Manor Farm
7622,Bury Town
7623,Canvey Island
7624,Carlton Town
7625,Chalfont St Peter
7626,Chasetown
7627,Chertsey Town
7628,Chichester City
7629,Cirencester Town
7630,City of Liverpool
7631,Cleethorpes Town
7632,Clitheroe
7633,Coggeshall Town
7634,Coleshill Town
7635,Colne
7636,Cray Valley PM
7637,Daventry Town
7638,Dereham Town
7639,Dunston UTS
7640,Evesham United
7641,Faversham Town
7642,Felixstowe & Walton Utd
7643,Frickley Athletic
7644,Halesowen Town
7645,Hanwell Town
7646,Harlow Town
7647,Haywards Heath Town
7648,Hertford Town
7649,Hullbridge Sports
7650,Kidlington
7651,Kidsgrove Athletic
7652,Lincoln United
7653,Loughborough Dynamo
7654,Maldon & Tiptree
7655,Mangotsfield United
7656,Marine
7657,Marlow
7658,Marske United
7659,Moneyfields
7660,Mossley
7661,North Leigh
7662,Ossett United
7663,Prescot Cables
7664,Ramsbottom United
7665,Ramsgate
7666,Runcorn Linnets
7667,Sheffield
7668,Sholing
7669,Slimbridge
7670,Soham Town Rangers
7671,Spalding United
7672,St Neots Town
7674,Tadcaster Albion
7675,Thame United
7676,Three Bridges
7677,Trafford
7678,Ware
7679,Welwyn Garden City
7680,Whitstable Town
7681,Widnes
