external_id,name
60,Leicester
86,Tottenham
64,Bournemouth
88,Newcastle
70,Coventry
93,Birmingham
96,Bristol City
1,Burnley
90,Cardiff
94,Huddersfield
91,Blackburn
36,Luton
38,Blackpool
33,Millwall
63,West Bromwich
6,Norwich
39,Sheffield U
37,Preston
32,Stoke
40,Queens Park Rangers
129,Sunderland
79,Watford
31,Reading
111,Wigan
102,Rotherham
67,Middlesbrough
689,Sverige
675,Serbien
674,Norge
690,Slovenien
673,Schweiz
683,Spanien
684,Portugal
672,Tjeckien
679,Irland
725,Skottland
685,Albanien
688,Israel
682,Kosovo
676,Nordirland
12,Grekland
681,Cypern
307,Åtvidaberg
446,Oddevold
215,Trollhättan
444,Olympic
443,Ängelholms FF
256,Oskarshamn
390,Haninge
310,Sandviken
442,Täby
455,BK Forward
89,Wolverhampton
52,West Ham
71,Chelsea
87,Crystal Palace
5,Brighton
41,Liverpool
68,Fulham
62,Everton
81,Southampton
80,Brentford
34,Swansea
69,Nottingham
234,Kalmar
201,Värnamo
85,Manchester United
2,Manchester City
92,Hull
103,Charlton
130,Shrewsbury
82,Leeds
84,Aston Villa
83,Arsenal
774,Algeriet
719,Turkiet
680,Armenien
142,Milton Keynes Dons
95,Barnsley
126,Plymouth
109,Burton
35,Peterborough 
137,Bristol Rovers
128,Wycombe
101,Cheltenham
108,Accrington
112,Cambridge
44,Bolton
105,Fleetwood
107,Morecambe
104,Lincoln
138,Forest Green
106,Oxford
141,Port Vale
100,Sheffield W
694,Danmark
693,Frankrike
604,Mexiko
755,Argentina
118,Harrogate
143,Hartlepool
123,Exeter
45,Portsmouth
120,Mansfield
132,Carlisle
116,Walsall
636,Chesterfield
140,Wimbledon
807,Costa Rica
713,Japan
739,Marocko
677,Belgien
710,Kanada
23,Kroatien
717,Tyskland
709,USA
678,Nederländerna
134,Swindon
98,Crawley Town
1039,Stockport
124,Colchester
136,Tranmere
113,Northampton
115,Rochdale
575,Ibiza
538,Real Zaragoza
1214,Albacete
311,Mirandes
17,Las Palmas
317,Sporting Gijón
18,Leganes
1066,Villarreal B
1056,Parma
172,Cagliari
145,Partick Thistle
1488,Cove Rangers
697,England
110,Ipswich
785,Grimsby
724,Wales
718,Rumänien
13,Andorra
97,Derby
121,Sutton
117,Salford
133,Stevenage
173,Juventus
316,Lazio
203,Bologna
78,Atalanta
57,Roma
193,Torino
65,Villarreal
72,Real Madrid
241,Athletic Bilbao
243,Espanyol
179,Paris Saint-Germain
247,Nice
210,Elfsborg
235,Degerfors
454,Brommapojkarna
207,Halmstad
236,Häcken
194,Milan
230,Inter
66,Bayern München
1062,Werder Bremen
358,Osasuna
58,Marseille
267,Lens
223,Rennes
192,AZ Alkmaar
180,Ajax
498,Royale Union SG
414,Club Brügge
54,Braga
42,Benfica
2005,Notts County
356,IFK Norrköping
354,Varberg
229,Spezia
167,Getafe
114,Bradford
342,Verona
416,Mallorca
430,Almería
242,Celta de Vigo
266,Lille
190,Montpellier
253,Nantes
77,RB Leipzig
407,Lilleström
850,Brann
232,Real Sociedad
43,Atlético Madrid
209,Malmö
51,Frankfurt
268,Brest
468,Toulouse
224,Monaco
188,Levante
419,Alavés
522,Eibar
457,Stockholm Internazionale
449,Hammarby TFF
393,Motala AIF
459,Vasalund
599,Ahlafors
828,AFC Malmö
208,Norrby
1557,Wolfsburg
592,Barcelona
333,Dalkurd
1301,Nordic United
565,Örebro Syrianska
306,Ljungskile
308,Lund
389,Tvååker
550,Kristianstad
564,Räppe
3963,Viggbyholm
561,Gute
570,Mjölby
3491,Farsta
545,Breidablik
661,Hafnarfjördur
823,Vestmannaeyja
540,KR Reykjavik
692,Österrike
723,Slovakien
687,Island
698,Ungern
11,Montenegro
701,Estland
21,Azerbajdzjan
696,Moldavien
670,Georgien
720,Färöarna
704,Bosnien & Hercegovina
450,Falkenberg
579,Eskilsminne
448,IF Karlstad
262,Sollentuna
420,Sarpsborg
383,Rosenborg
875,Stabæk
590,Tromsö
56,Bodö/Glimt
491,Strömsgodset
421,Odds
493,Ham-Kam
489,Haugesund
384,Molde
4357,Tyskland
1298,Tjeckien
4359,Italien
4358,Schweiz
3471,Arlanda
821,Järfälla
3490,Zenith
515,Nordvärmland
202,Sirius
199,Viking
345,Vålerenga
866,Portugal
862,England
641,Haka
639,Oulu
830,KuPS
642,Lahti
640,SJK
644,Ilves
4148,Kotka
831,Mariehamn
643,Inter Åbo
