fotmob_external_id,fotmob_name,reason,candidates
6292,Worcester,ambiguous_variant,9010:Worcester City; 19560:Worcester Raiders
104821,CRB,no_candidate,
2362,JIPPO,no_candidate,
298660,Londrina EC,no_candidate,Campeonato Brasileiro Série B
581838,Novorizontino,no_candidate,Campeonato Brasileiro Série B
2369,Náutico,no_candidate,Campeonato Brasileiro Série B
197429,Operário,no_candidate,Campeonato Brasileiro Série B
8630,Ponte Preta,no_candidate,Campeonato Brasileiro Série B


231931,São Bernardo,no_candidate,Campeonato Brasileiro Série B
109706,Vila Nova,no_candidate,Campeonato Brasileiro Série B.

2128213,AFC Bournemouth Academy,youth_no_unique_match,
950214,Arsenal U21,youth_no_unique_match,
1070261,Aston Villa U21,youth_no_unique_match,
1796111,Birmingham U21,youth_no_unique_match,
773685,Blackburn Rovers U21,youth_no_unique_match,
2054260,Brentford Academy,youth_no_unique_match,
773678,Brighton & Hove Albion U21,youth_no_unique_match,
1796112,Burnley U21,youth_no_unique_match,
773652,Chelsea U21,youth_no_unique_match,
1267874,Crystal Palace U21,youth_no_unique_match,
773680,Derby County U21,youth_no_unique_match,
773653,Everton U21,youth_no_unique_match,
860801,Fulham U21,youth_no_unique_match,
1796115,Ipswich Town U21,youth_no_unique_match,
1177187,Leeds United U21,youth_no_unique_match,
773642,Leicester City U21,youth_no_unique_match,
1070259,Liverpool U21,youth_no_unique_match,
860800,Manchester City U21,youth_no_unique_match,
1070257,Manchester United U21,youth_no_unique_match,
773660,Middlesbrough U21,youth_no_unique_match,
860798,Newcastle United U21,youth_no_unique_match,
773658,Norwich City U21,youth_no_unique_match,
1389162,Nottingham Forest U21,youth_no_unique_match,
773686,Reading U21,youth_no_unique_match,
773645,Southampton U21,youth_no_unique_match,
773650,Stoke City U21,youth_no_unique_match,
773657,Sunderland U21,youth_no_unique_match,
860802,Tottenham Hotspur U21,youth_no_unique_match,
773656,West Bromwich Albion U21,youth_no_unique_match,
773649,West Ham United U21,youth_no_unique_match,
773683,Wolverhampton Wanderers U21,youth_no_unique_match,
