provider,provider_match_id,provider_league_id,provider_season_id,league_external_id,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,internal_home_team,internal_away_team,kickoff_at,home_score,away_score
fotmob,3854715,9441,2022,257,1408,2022,839074,FC Motown,1334654,AC Syracuse Pulse,FC Motown,Syracuse Pulse,2022-04-06T23:00:00+00:00,,
fotmob,3849630,9441,2022,257,1408,2022,721896,Miami FC,634267,Miami United,Miami United,Miami United,2022-04-06T23:00:00+00:00,,
fotmob,3845298,9441,2022,257,1408,2022,839083,ALBION San Diego,1124827,San Diego Loyal SC,San Diego,San Diego Loyal,2022-04-07T02:30:00+00:00,,
fotmob,3859055,9441,2022,257,1408,2022,721896,Miami FC,960720,Inter Miami CF,Miami United,Inter Miami,2022-04-19T23:00:00+00:00,,
fotmob,3859062,9441,2022,257,1408,2022,162182,Rochester New York FC,839074,FC Motown,York,FC Motown,2022-04-20T22:00:00+00:00,,
fotmob,3859051,9441,2022,257,1408,2022,773958,Atlanta United,540884,Chattanooga FC,Atalanta,Chattanooga,2022-04-20T23:30:00+00:00,,
fotmob,3866373,9441,2022,257,1408,2022,546238,New York City FC,162182,Rochester New York FC,New York City FC,York,2022-05-11T23:00:00+00:00,,
fotmob,3866369,9441,2022,257,1408,2022,915807,Nashville SC,773958,Atlanta United,Nashville SC,Atalanta,2022-05-12T00:00:00+00:00,,
fotmob,4118156,9441,2023,257,1408,2023,839070,El Farolito SC,1437470,International San Francisco,El Farolito,Inter,2023-03-22T21:30:00+00:00,,
fotmob,4125897,9441,2023,257,1408,2023,1442438,Club de Lyon FC 2,1358095,NONA FC,Club De Lyon,Nona,2023-03-22T23:00:00+00:00,,
fotmob,4145392,9441,2023,257,1408,2023,721896,Miami FC,839076,Jacksonville Armada U23,Miami United,Jacksonville Armada II,2023-04-04T23:00:00+00:00,,
fotmob,4125900,9441,2023,257,1408,2023,267816,Pittsburgh Riverhounds SC,162182,Rochester New York FC,Pittsburgh Riverhounds,York,2023-04-05T23:00:00+00:00,,
fotmob,4125910,9441,2023,257,1408,2023,1124827,San Diego Loyal SC,839083,ALBION San Diego,San Diego Loyal,San Diego,2023-04-06T02:00:00+00:00,,
fotmob,4153392,9441,2023,257,1408,2023,773958,Atlanta United,1003204,Memphis 901 FC,Atalanta,Memphis 901,2023-04-26T23:30:00+00:00,,
fotmob,4153384,9441,2023,257,1408,2023,721896,Miami FC,960720,Inter Miami CF,Miami United,Inter Miami,2023-04-26T23:30:00+00:00,,
fotmob,5107437,67,2022,113,1458,2022,8349,AIK,8310,Halmstads BK,AIK Stockholm,Halmstad,2026-04-05T12:00:00+00:00,,
fotmob,5107444,67,2022,113,1458,2022,9892,Kalmar FF,6194,Västerås SK,Kalmar FF,Vasteras SK FK,2026-04-05T12:00:00+00:00,,
fotmob,5107440,67,2022,113,1458,2022,10002,Örgryte,10237,Malmö FF,Orgryte IS,Malmo FF,2026-04-05T14:30:00+00:00,,
fotmob,5107441,67,2022,113,1458,2022,8428,Häcken,8501,Brommapojkarna,BK Hacken,IF Brommapojkarna,2026-04-06T12:00:00+00:00,,
fotmob,5107439,67,2022,113,1458,2022,8297,GAIS,9802,Djurgården,Gais,Djurgardens IF,2026-04-06T14:30:00+00:00,,
fotmob,5107447,67,2022,113,1458,2022,8127,Mjällby,10002,Örgryte,Mjallby AIF,Orgryte IS,2026-04-11T13:00:00+00:00,,
fotmob,5107451,67,2022,113,1458,2022,6194,Västerås SK,8014,Elfsborg,Vasteras SK FK,IF Elfsborg,2026-04-11T13:00:00+00:00,,
fotmob,5107452,67,2022,113,1458,2022,8310,Halmstads BK,6544,Degerfors,Halmstad,Degerfors IF,2026-04-12T12:00:00+00:00,,
fotmob,5107448,67,2022,113,1458,2022,10237,Malmö FF,8297,GAIS,Malmo FF,Gais,2026-04-12T14:30:00+00:00,,
fotmob,5107449,67,2022,113,1458,2022,8501,Brommapojkarna,8349,AIK,IF Brommapojkarna,AIK Stockholm,2026-04-13T17:00:00+00:00,,
fotmob,5107460,67,2022,113,1458,2022,8310,Halmstads BK,9893,IFK Göteborg,Halmstad,IFK Goteborg,2026-04-18T13:00:00+00:00,,
fotmob,5107455,67,2022,113,1458,2022,8248,Hammarby,10002,Örgryte,Hammarby FF,Orgryte IS,2026-04-18T13:00:00+00:00,,
fotmob,5107457,67,2022,113,1458,2022,8127,Mjällby,8501,Brommapojkarna,Mjallby AIF,IF Brommapojkarna,2026-04-18T13:00:00+00:00,,
fotmob,5107459,67,2022,113,1458,2022,6694,Sirius,6194,Västerås SK,Sirius,Vasteras SK FK,2026-04-18T13:00:00+00:00,,
fotmob,5107456,67,2022,113,1458,2022,8428,Häcken,8297,GAIS,BK Hacken,Gais,2026-04-19T14:30:00+00:00,,
fotmob,5107461,67,2022,113,1458,2022,8248,Hammarby,8310,Halmstads BK,Hammarby FF,Halmstad,2026-04-22T17:00:00+00:00,,
fotmob,5107467,67,2022,113,1458,2022,6194,Västerås SK,8428,Häcken,Vasteras SK FK,BK Hacken,2026-04-22T17:00:00+00:00,,
fotmob,5107462,67,2022,113,1458,2022,8297,GAIS,8127,Mjällby,Gais,Mjallby AIF,2026-04-23T17:00:00+00:00,,
fotmob,5107471,67,2022,113,1458,2022,9893,IFK Göteborg,8297,GAIS,IFK Goteborg,Gais,2026-04-26T14:30:00+00:00,,
fotmob,5107474,67,2022,113,1458,2022,8127,Mjällby,8310,Halmstads BK,Mjallby AIF,Halmstad,2026-04-27T17:00:00+00:00,,
fotmob,5107472,67,2022,113,1458,2022,10002,Örgryte,6544,Degerfors,Orgryte IS,Degerfors IF,2026-04-27T17:00:00+00:00,,
fotmob,5107478,67,2022,113,1458,2022,8248,Hammarby,6194,Västerås SK,Hammarby FF,Vasteras SK FK,2026-05-03T12:00:00+00:00,,
fotmob,5107479,67,2022,113,1458,2022,8297,GAIS,10002,Örgryte,Gais,Orgryte IS,2026-05-03T14:30:00+00:00,,
fotmob,5107488,67,2022,113,1458,2022,8014,Elfsborg,8501,Brommapojkarna,IF Elfsborg,IF Brommapojkarna,2026-05-08T17:00:00+00:00,,
fotmob,5107491,67,2022,113,1458,2022,6194,Västerås SK,8297,GAIS,Vasteras SK FK,Gais,2026-05-09T13:00:00+00:00,,
fotmob,5107492,67,2022,113,1458,2022,9892,Kalmar FF,8310,Halmstads BK,Kalmar FF,Halmstad,2026-05-10T12:00:00+00:00,,
fotmob,5107490,67,2022,113,1458,2022,6694,Sirius,10002,Örgryte,Sirius,Orgryte IS,2026-05-11T17:00:00+00:00,,
